id,slug,name,kind,priority,description
customs-docs-extraction,customs-document-data-extraction,Customs Document Data Extraction,customs,1,Extracting line-item data from CF 7501 and 3461 forms for brokers
commercial-invoice-digitization,commercial-invoice-data-digitization,Commercial Invoice Data Digitization,invoice,2,Transforming messy commercial invoice PDFs into structured CSV/JSON
bol-data-processing,bill-of-lading-data-processing,Bill of Lading Data Processing,shipping,3,Automated extraction of shipper and consignee data from Bill of Ladings
cargowise-data-cleaning,clean-cargowise-data-for-accounting,Clean CargoWise Data for Accounting,integration,4,Normalizing CargoWise XML/PDF exports for clean ERP imports
motive-ifta-processing,motive-eld-ifta-data-normalization,Motive ELD IFTA Data Normalization,integration,5,Cleaning Motive trip and fuel logs for seamless IFTA reporting
magaya-invoice-sync-prep,prepare-magaya-data-for-quickbooks,Prepare Magaya Data for QuickBooks,integration,6,Formatting Magaya operational files for QuickBooks financial sync
packing-list-automation,packing-list-data-extraction-services,Packing List Data Extraction,shipping,7,Converting itemized packing lists into system-ready inventory data
awb-digitization,airway-bill-document-digitization,Airway Bill Document Digitization,shipping,8,Automated data capture from Air Waybills for TMS entry
customs-bond-doc-prep,customs-bond-documentation-processing,Customs Bond Documentation Processing,customs,9,Digitizing bond application and approval documents
tariff-classification-validation,hs-code-validation-from-docs,HS Code Validation from Documents,customs,10,Extracting and cross-referencing HS codes from technical data sheets
logistics-finance-audit-data,freight-bill-audit-data-preparation,Freight Bill Audit Data Preparation,finance,11,Formatting transportation spend data for automated freight auditing
sap-s4hana-logistics-prep,clean-logistics-data-for-sap-s4hana,Clean Logistics Data for SAP S/4HANA,integration,12,Preparing external forwarding data for SAP S/4HANA Finance ingestion
netsuite-landed-cost-prep,shipment-data-prep-for-netsuite-landed-cost,Shipment Data Prep for NetSuite Landed Cost,integration,13,Extracting line-level shipment costs for NetSuite inventory valuation
edi-transaction-normalization,edi-document-normalization-services,EDI Document Normalization Services,integration,14,Translating raw EDI 850/810/214 files into readable business data
import-license-digitization,import-export-license-data-extraction,Import & Export License Data Extraction,compliance,15,Capturing permit and license details for compliance record-keeping
